Date,GR_Q,BR_Q
13/06/2005,0.150766752,0.416116235
14/06/2005,0.148995324,0.411227095
15/06/2005,0.147082813,0.405948563
16/06/2005,0.716843876,1.978489097
17/06/2005,0.817848744,2.257262534
18/06/2005,0.311744513,0.860414855
19/06/2005,0.236604034,0.653027133
20/06/2005,0.450077449,1.242213759
21/06/2005,2.008270574,5.542826784
22/06/2005,1.842598973,5.085573166
23/06/2005,0.655570454,1.809374453
24/06/2005,0.26268849,0.725020233
25/06/2005,0.200921906,0.55454446
26/06/2005,0.17418873,0.480760894
27/06/2005,0.163260551,0.450599121
28/06/2005,0.156137411,0.430939255
29/06/2005,0.153244859,0.422955812
30/06/2005,0.158997559,0.438833263
01/07/2005,0.156699095,0.432489501
02/07/2005,0.177357065,0.489505499
03/07/2005,0.235228878,0.649231705
04/07/2005,0.186115845,0.513679732
05/07/2005,1.835539584,5.066089251
06/07/2005,0.598759738,1.652576877
07/07/2005,0.635366812,1.753612401
08/07/2005,0.72318483,1.99599013
09/07/2005,0.26559639,0.733046035
10/07/2005,0.192746619,0.531980668
11/07/2005,0.165220304,0.45600804
12/07/2005,0.152837269,0.421830863
13/07/2005,0.145738803,0.402239096
14/07/2005,0.139449365,0.384880247
15/07/2005,0.135404132,0.373715405
16/07/2005,0.129649858,0.357833608
17/07/2005,0.146853591,0.405315911
18/07/2005,0.176618014,0.48746572
19/07/2005,0.147845187,0.408052716
20/07/2005,0.221468739,0.611253721
21/07/2005,0.297483416,0.821054228
22/07/2005,0.217626317,0.600648636
23/07/2005,0.262210376,0.723700638
24/07/2005,0.190125833,0.5247473
25/07/2005,0.150957863,0.416643701
26/07/2005,0.136320981,0.376245907
27/07/2005,0.129732076,0.35806053
28/07/2005,0.123387617,0.340549824
29/07/2005,0.122984051,0.33943598
30/07/2005,0.121925579,0.336514598
31/07/2005,0.121412569,0.335098691
01/08/2005,0.115953346,0.320031235
02/08/2005,0.310274071,0.856356435
03/08/2005,0.154397541,0.426137213
04/08/2005,0.442578156,1.22151571
05/08/2005,0.246263774,0.679688016
06/08/2005,0.191325741,0.528059045
07/08/2005,0.166954328,0.460793946
08/08/2005,0.144407963,0.398565978
09/08/2005,0.134664777,0.371674785
10/08/2005,0.127421393,0.351683046
11/08/2005,0.128042621,0.353397635
12/08/2005,0.342122005,0.944256735
13/08/2005,0.434486773,1.199183494
14/08/2005,0.178438914,0.492491402
15/08/2005,0.164389651,0.453715436
16/08/2005,0.147309737,0.406574874
17/08/2005,4.226054432,11.66391023
18/08/2005,0.539952555,1.490269052
19/08/2005,0.272234395,0.751366931
20/08/2005,1.190738373,3.286437908
21/08/2005,2.895253265,7.990899012
22/08/2005,0.388841406,1.07320228
23/08/2005,4.506812528,12.43880258
24/08/2005,1.142480261,3.153245521
25/08/2005,0.592627228,1.635651148
26/08/2005,0.297198002,0.820266486
27/08/2005,0.221161253,0.610405057
28/08/2005,4.525039487,12.48910898
29/08/2005,0.668139356,1.844064622
30/08/2005,0.2712982,0.748783033
31/08/2005,0.234709752,0.647798915
01/09/2005,0.244121711,0.673775921
02/09/2005,0.25701699,0.709366892
03/09/2005,0.184045429,0.507965385
04/09/2005,0.162445227,0.448348827
05/09/2005,0.154713914,0.427010402
06/09/2005,0.175476038,0.484313866
07/09/2005,2.281977895,6.298258991
08/09/2005,0.516761365,1.426261369
09/09/2005,1.137047618,3.138251426
10/09/2005,0.509408306,1.405966925
11/09/2005,0.250591239,0.691631821
12/09/2005,0.38663445,1.067111083
13/09/2005,2.5754832,7.108333633
14/09/2005,0.654927,1.807598521
15/09/2005,0.842743621,2.325972395
16/09/2005,0.321514114,0.887378955
