sp1;sp2 ;sp3;sp4;sp5;sp6;sp7;sp8;sp9;sp10;sp11;sp12;sp13;sp14;sp15;sp16;sp17;sp18;sp19;sp20;sp21;sp22;sp23;sp24;sp25;sp26;sp27;sp28;sp29;sp30;sp31;sp32;sp33;sp34;sp35;sp36;sp37;sp38;sp39;sp40;sp41;sp42;sp43;sp44;sp45;sp46;sp47;sp48;sp49;sp50;sp51;sp52;sp53;sp54;sp55;sp56;sp57;sp58;sp59;sp60;sp61;sp62;sp63;sp64;sp65
0;77660.2;0;58810.6;3015.9;0;40;0;0;0;0;0;3769.9;0;0;0;0;0;0;0;0;754;0;0;0;0;0;0;0;0;0;0;0;0;0;5277.9;0;754;754;0;0;0;0;0;1508;0;2261.9;0;0;0;0;0;6031.9;0;1508;0;0;0;0;3015.9;0;0;0;4523.9;0
0;179447.8;0;70120.3;6785.8;0;0;0;0;0;0;1508;4523.9;0;0;0;0;0;0;1508;0;0;0;0;0;754;0;0;0;754;0;0;0;3015.9;6785.8;2261.9;0;754;0;0;0;0;0;0;0;0;12817.7;3015.9;0;0;0;1508;1508;0;376991.1;0;0;0;0;754;0;0;12817.7;39207.1;0
23373.4;206591.1;0;3769.9;0;0;40;0;0;0;0;754;3769.9;0;0;0;0;0;0;754;0;754;0;0;0;1508;0;3769.9;0;754;0;3769.9;0;12817.7;8293.8;754;0;1508;0;0;0;0;0;0;1508;0;6031.9;0;0;0;0;0;12817.7;0;380007;0;0;0;0;3769.9;0;0;4523.9;73136.3;0
0;88969.9;0;0;15833.6;0;120;0;0;0;0;4523.9;8293.8;0;0;0;0;0;17341.6;754;0;1508;0;0;0;0;0;6785.8;0;754;0;0;0;2261.9;1508;0;0;1508;0;9047.8;0;0;0;0;2261.9;0;5277.9;1508;7539.8;0;0;20357.5;2261.9;0;201313.3;0;0;0;0;9047.8;0;0;0;63334.5;0
83692;8293.8;0;0;31667.3;0;80;0;0;0;0;2261.9;21865.5;0;0;0;0;0;1508;5277.9;0;10555.8;0;0;0;0;0;1508;0;754;0;0;8293.8;3015.9;3015.9;0;0;754;0;5277.9;0;754;0;0;3015.9;0;3769.9;0;9047.8;0;0;15833.6;2261.9;0;163614.1;0;3769.9;0;0;6031.9;0;0;0;39207.1;0
28651.3;9047.8;0;19603.5;67104.4;8293.8;0;0;0;0;0;12817.7;25635.4;0;0;0;0;0;0;3015.9;36191.1;6785.8;0;0;0;2261.9;0;0;0;1508;0;21111.5;3015.9;1508;1508;0;0;754;0;0;4523.9;3015.9;0;0;0;0;2261.9;5277.9;0;0;0;11309.7;754;0;35437.2;0;17341.6;0;0;3769.9;0;0;0;65596.5;0
0;9047.8;0;35437.2;81430.1;0;0;10555.8;0;0;0;3015.9;21865.5;0;0;0;0;22619.5;0;7539.8;0;19603.5;0;2261.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;754;754;754;0;0;0;0;0;0;1508;0;0;4523.9;0;0;22619.5;0;0;0;0;754;0;0;0;3769.9;0
8293.8;2261.9;0;0;42977;0;0;3769.9;0;0;0;2261.9;20357.5;754;0;0;0;26389.4;5277.9;5277.9;0;15079.6;1508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1508;2261.9;0;0;0;0;0;0;0;0;0;0;5277.9;4523.9;0;19603.5;0;0;0;0;0;0;0;0;12063.7;0
0;0;0;23373.4;23373.4;3769.9;0;4523.9;0;0;0;2261.9;19603.5;0;0;0;0;0;0;3015.9;0;9801.8;0;3015.9;0;754;0;0;0;0;0;0;0;1508;0;0;0;0;0;754;754;0;0;0;754;0;0;0;1508;0;0;1508;754;0;8293.8;0;0;0;0;4523.9;0;0;0;3769.9;0
2261.9;4523.9;0;0;43731;0;0;0;0;0;0;2261.9;14325.7;0;0;0;0;5277.9;0;1508;0;3015.9;0;754;0;0;0;0;0;0;0;5277.9;0;0;0;0;0;0;754;7539.8;0;754;0;0;0;0;0;0;0;0;0;1508;754;0;6031.9;0;0;0;0;2261.9;0;0;1508;42223;0
0;0;0;21111.5;31667.3;0;0;0;0;0;0;754;6785.8;0;0;0;0;0;0;0;0;2261.9;2261.9;1508;0;0;0;1508;0;0;0;0;0;0;0;2261.9;754;0;754;754;0;0;0;0;0;0;0;0;3015.9;0;0;5277.9;1508;0;2261.9;0;0;0;0;2261.9;0;0;0;17341.6;0
0;4523.9;0;21111.5;57302.7;0;0;1508;0;0;0;3769.9;15079.6;0;0;0;0;0;1508;2261.9;0;1508;754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;754;0;0;0;0;0;2261.9;0;0;0;0;0;0;3769.9;754;0;15833.6;0;0;0;0;0;0;0;0;19603.5;0
0;35437.2;0;85200;36191.1;0;0;0;0;0;0;4523.9;9801.8;0;0;0;0;0;0;6785.8;0;5277.9;1508;754;0;754;0;0;0;0;0;0;0;0;0;0;0;1508;754;754;0;0;0;0;754;0;0;0;0;0;0;6031.9;0;0;966605.2;0;0;0;0;0;0;0;0;33929.2;0
146272.6;29405.3;0;6031.9;15833.6;0;0;1508;0;0;0;1508;6785.8;0;0;0;0;0;4523.9;15833.6;0;13571.7;1508;1508;0;754;0;0;0;1508;0;0;0;0;0;0;0;0;0;3769.9;0;0;0;0;4523.9;0;0;0;5277.9;0;0;0;6031.9;0;520247.7;0;0;0;0;0;0;0;6031.9;13571.7;0
