Date,wtr_2.5,wtr_5,wtr_8,wtr_11,wtr_14,wtr_16,wtr_18,wtr_20,wtr_22,wtr_27,wtr_32,wtr_42,wtr_mean,ss
17/05/2004,12.50870833,12.26963889,12.03056944,11.13226389,10.28618056,10.31741667,10.06716667,10.00994444,9.905333333,9.88,9.844097222,9.796777778,10.67067477,143.878501
18/05/2004,12.37180556,12.14759028,11.923375,11.49013889,11.03101389,11.03943056,10.69156944,10.37808333,10.09370833,9.941652778,9.871166667,9.809763889,10.89910822,124.3962584
19/05/2004,12.843375,12.47200694,12.10063889,11.45258333,10.76194444,10.78713889,10.34065278,10.2105,10.12813889,10.0975,9.965083333,9.863402778,10.91858044,151.3299292
20/05/2004,12.58326389,12.38767361,12.19208333,11.47006944,10.76973611,10.75040278,10.34659722,10.21222222,10.18280556,10.11445833,9.967444444,9.866916667,10.90363947,139.3402429
21/05/2004,12.31609722,12.19000694,12.06391667,11.78806944,11.01736111,10.95176389,10.55641667,10.401,10.27833333,10.23002778,10.06963889,9.914222222,10.98140451,117.749027
22/05/2004,12.76965278,12.38077778,11.99190278,11.87820833,11.28288889,11.10743056,10.53736111,10.32881944,10.24011111,10.20955556,10.07575,9.958111111,11.06338079,138.5423987
23/05/2004,13.82670833,12.96368056,12.10065278,11.78755556,11.1655,11.081375,10.48773611,10.32780556,10.24752778,10.20433333,10.09873611,10.01125,11.19190509,196.1314569
24/05/2004,14.33220833,13.18257639,12.03294444,11.59679167,11.05223611,10.993875,10.57513889,10.30554167,10.23906944,10.23358333,10.15286111,10.050625,11.22895428,222.1393755
25/05/2004,14.17859722,13.10466667,12.03073611,11.68383333,11.07269444,11.24093056,10.63890278,10.26838889,10.20661111,10.17625,10.15865278,10.05968056,11.23499537,213.3309469
26/05/2004,14.32743056,13.38492361,12.44241667,11.80336111,11.16741667,11.27859722,10.68633333,10.44304167,10.31976389,10.26166667,10.22440278,10.16638889,11.37547859,225.05989
27/05/2004,15.01790278,14.04895833,13.08001389,12.10966667,11.25522222,11.23343056,10.80286111,10.58961111,10.36801389,10.24455556,10.18813889,10.17105556,11.59245255,278.1641936
28/05/2004,14.41505556,14.25453472,14.09401389,13.56109722,12.32520833,11.67483333,10.95763889,10.56802778,10.34941667,10.26918056,10.21847222,10.20343056,11.90757581,261.3213411
29/05/2004,14.24261111,14.16372917,14.08484722,13.30165278,11.99520833,11.64430556,10.98108333,10.69872222,10.49791667,10.30890278,10.24459722,10.22534722,11.86574363,248.2821864
30/05/2004,14.49770833,14.30363889,14.10956944,12.85204167,11.79826389,11.53747222,11.01831944,10.69191667,10.57476389,10.36476389,10.27216667,10.20093056,11.8517963,261.8213747
31/05/2004,14.60856944,14.42225,14.23593056,12.71201389,11.85419444,11.66665278,11.05205556,10.73940278,10.59955556,10.40083333,10.29470833,10.2645,11.90422222,268.5150233
01/06/2004,14.49104167,14.40520833,14.319375,12.50673611,11.80481944,11.58345833,11.02616667,10.74095833,10.61005556,10.43816667,10.29215278,10.23959722,11.87147801,263.0924815
02/06/2004,14.38718056,14.247875,14.10856944,13.43695833,12.06501389,11.58488889,10.94561111,10.65380556,10.56141667,10.4,10.30355556,10.26706944,11.91349537,255.3370517
03/06/2004,14.65916667,14.56190972,14.46465278,14.24763889,11.87293056,11.41826389,10.94398611,10.67422222,10.54945833,10.398,10.29120833,10.22183333,12.02527257,282.9022317
